days_grouped_30,history_code,voted_abs,n_voters
+30,Absentee,2.73,1113533
+30,Early,2.82,1098240
+30,Polls,2.11,2039236
-30,Absentee,3.13,1119242
-30,Early,3.59,1111925
-30,Polls,2.28,2079248
0,Absentee,3.56,38230
0,Early,3.36,37684
0,Polls,2.97,67626
