,election_type,days_from_birthday,prop_voted,n_total,n_voters,n_nonvoters
0,GEN,+/- 30,26.93,927285,249722,677563
1,GEN,0,27.88,14916,4158,10758
2,PRI,+/- 30,3.07,1117021,34290,1082731
3,PRI,0,3.44,17297,595,16702
