,election_type2,days_from_birthday,prop_voted,n_total,n_voters,n_nonvoters
0,Midterms,+/- 30,23.43,8246287,1931770,6314517
1,Midterms,0,23.39,135298,31645,103653
2,Presidential,+/- 30,27.5,7906277,2174152,5732125
3,Presidential,0,27.48,130209,35787,94422
